Year,Player,Team,Position,Bid_Amount
2020,Deebo Samuel,Westeros  Warlords,N/A,3
2020,Ben Roethlisberger,Winston-Salem Wake Snakes,N/A,3
2020,Ronald Jones II,Goleta Gringos,N/A,4
2020,Jared Goff,Squaw Valley Skinners,N/A,1
2020,Julian Edelman,Goleta Gringos,N/A,10
2020,Ryquell Armstead,Chula Vista Chupacabras,N/A,1
2020,Carlos Hyde,Tittsburgh Feelers,N/A,1
2020,Patriots D/ST,Winston-Salem Wake Snakes,N/A,2
2020,James White,Tijuana Sanchitos,N/A,1
2020,Sterling Shepard,Fairview Fat Cats,N/A,4
2020,D'Andre Swift,Tijuana Sanchitos,N/A,10
2020,Diontae Johnson,DC Mighty Cucks,N/A,4
2020,Colts D/ST,Westeros  Warlords,N/A,1
2020,Darius Slayton,DC Mighty Cucks,N/A,1
2020,Marvin Jones Jr.,Muck City Mad Dawgs,N/A,5
2020,Christian Kirk,Fairview Fat Cats,N/A,3
2020,Bears D/ST,Goleta Gringos,N/A,2
2020,Tony Pollard,Honolulu Horndogs,N/A,2
2020,Buccaneers D/ST,Tijuana Sanchitos,N/A,1
2020,Justin Jackson,Squaw Valley Skinners,N/A,2
2020,Stephen Gostkowski,Muck City Mad Dawgs,N/A,1
2020,Devine Ozigbo,Muck City Mad Dawgs,N/A,3
2020,Chris Herndon,Westeros  Warlords,N/A,1
2020,Laviska Shenault Jr.,DC Mighty Cucks,N/A,1
2020,Hunter Henry,Honolulu Horndogs,N/A,2
2020,T.J. Hockenson,Chula Vista Chupacabras,N/A,1
2020,Jamison Crowder,Tittsburgh Feelers,N/A,2
2020,Jalen Reagor,Tijuana Sanchitos,N/A,1
2020,Chris Boswell,San Diego Shadowcocks,N/A,1
2020,Seahawks D/ST,Muck City Mad Dawgs,N/A,1
2020,Parris Campbell,Honolulu Horndogs,N/A,1
2020,Mecole Hardman,Westeros  Warlords,N/A,1
2020,Michael Pittman Jr.,DC Mighty Cucks,N/A,1
2020,Anthony Miller,Squaw Valley Skinners,N/A,1
2020,Chargers D/ST,Chula Vista Chupacabras,N/A,1
2020,Darrell Henderson Jr.,Tittsburgh Feelers,N/A,1
2020,Younghoe Koo,Tijuana Sanchitos,N/A,1
2020,Golden Tate,San Diego Shadowcocks,N/A,1
2020,Larry Fitzgerald,Muck City Mad Dawgs,N/A,1
2020,DeSean Jackson,DC Mighty Cucks,N/A,1
2020,AJ Dillon,Squaw Valley Skinners,N/A,1
2020,Sammy Watkins,Chula Vista Chupacabras,N/A,1
2020,Darrel Williams,Tittsburgh Feelers,N/A,9
2020,Tyrell Williams,San Diego Shadowcocks,N/A,1
2020,Gardner Minshew II,DC Mighty Cucks,N/A,1
2020,Justin Jefferson,Squaw Valley Skinners,N/A,1
2020,Hunter Renfrow,San Diego Shadowcocks,N/A,1
2020,Bryan Edwards,DC Mighty Cucks,N/A,1
2020,Jared Cook,Squaw Valley Skinners,N/A,1
2020,Corey Davis,San Diego Shadowcocks,N/A,1
2020,Matthew Stafford,DC Mighty Cucks,N/A,1
2020,Robby Anderson,Squaw Valley Skinners,N/A,1
2020,John Brown,San Diego Shadowcocks,N/A,1
2020,Saints D/ST,San Diego Shadowcocks,N/A,1
2021,Christian McCaffrey,Fairview Fat Cats,N/A,82
2021,Lamar Jackson,Pasco Pounders,N/A,21
2021,Justin Tucker,Poulsbo Polliwogs,N/A,3
2021,Nick Chubb,Goleta Gringos,N/A,66
2021,Jason Sanders,San Diego Shadowcocks,N/A,2
2021,Broncos D/ST,Fairview Fat Cats,N/A,1
2021,Kenny Golladay,Tijuana Sanchitos,N/A,22
2021,Harrison Butker,Tittsburgh Feelers,N/A,3
2021,Matt Gay,Chula Vista Chupacabras,N/A,2
2021,Rams D/ST,Pasco Pounders,N/A,3
2021,Darren Waller,Goleta Gringos,N/A,40
2021,Amari Cooper,Chula Vista Chupacabras,N/A,24
2021,Najee Harris,San Diego Shadowcocks,N/A,57
2021,Saquon Barkley,San Diego Shadowcocks,N/A,63
2021,Aaron Rodgers,Tijuana Sanchitos,N/A,11
2021,Chris Carson,Squaw Valley Skinners,N/A,34
2021,Younghoe Koo,Tijuana Sanchitos,N/A,2
2021,Brandon McManus,Fairview Fat Cats,N/A,1
2021,Jalen Hurts,Poulsbo Polliwogs,N/A,6
2021,Tyreek Hill,San Diego Shadowcocks,N/A,52
2021,49ers D/ST,Poulsbo Polliwogs,N/A,2
2021,Davante Adams,Pasco Pounders,N/A,58
2021,Jerry Jeudy,DC Mighty Cucks,N/A,9
2021,CeeDee Lamb,Squaw Valley Skinners,N/A,39
2021,Ezekiel Elliott,Tijuana Sanchitos,N/A,67
2021,Derrick Henry,Tijuana Sanchitos,N/A,75
2021,Josh Allen,Chula Vista Chupacabras,N/A,17
2021,Antonio Gibson,Poulsbo Polliwogs,N/A,62
2021,Daniel Carlson,Westeros  Warlords,N/A,1
2021,Dalvin Cook,Tittsburgh Feelers,N/A,75
2021,David Montgomery,DC Mighty Cucks,N/A,28
2021,Gus Edwards,Chula Vista Chupacabras,N/A,32
2021,Mike Evans,Squaw Valley Skinners,N/A,21
2021,Jonathan Taylor,DC Mighty Cucks,N/A,61
2021,Austin Ekeler,Poulsbo Polliwogs,N/A,61
2021,Travis Kelce,Honolulu Horndogs,N/A,60
2021,Mike Davis,Squaw Valley Skinners,N/A,18
2021,Alvin Kamara,Honolulu Horndogs,N/A,80
2021,Justin Jefferson,Goleta Gringos,N/A,35
2021,Terry McLaurin,Fairview Fat Cats,N/A,25
2021,Steelers D/ST,Westeros  Warlords,N/A,4
2021,Stefon Diggs,Goleta Gringos,N/A,46
2021,Logan Thomas,Tittsburgh Feelers,N/A,4
2021,James Robinson,Chula Vista Chupacabras,N/A,45
2021,Patriots D/ST,Chula Vista Chupacabras,N/A,2
2021,Buccaneers D/ST,Honolulu Horndogs,N/A,3
2021,Commanders D/ST,Tittsburgh Feelers,N/A,3
2021,Calvin Ridley,Squaw Valley Skinners,N/A,39
2021,Joe Mixon,DC Mighty Cucks,N/A,50
2021,Darrell Henderson Jr.,Tittsburgh Feelers,N/A,21
2021,Antonio Brown,San Diego Shadowcocks,N/A,9
2021,Aaron Jones,Westeros  Warlords,N/A,69
2021,DeAndre Hopkins,Chula Vista Chupacabras,N/A,42
2021,DK Metcalf,Tittsburgh Feelers,N/A,43
2021,A.J. Brown,Westeros  Warlords,N/A,39
2021,Mark Andrews,Chula Vista Chupacabras,N/A,16
2021,Josh Jacobs,Westeros  Warlords,N/A,35
2021,Allen Robinson II,Honolulu Horndogs,N/A,28
2021,Russell Wilson,Westeros  Warlords,N/A,10
2021,Clyde Edwards-Helaire,Tittsburgh Feelers,N/A,40
2021,Miles Sanders,Pasco Pounders,N/A,23
2021,Ronald Jones II,Honolulu Horndogs,N/A,7
2021,Mike Gesicki,Westeros  Warlords,N/A,4
2021,Chase Edmonds,Pasco Pounders,N/A,14
2021,Melvin Gordon III,Westeros  Warlords,N/A,5
2021,D'Andre Swift,Fairview Fat Cats,N/A,14
2021,Keenan Allen,Pasco Pounders,N/A,32
2021,Kyler Murray,Squaw Valley Skinners,N/A,10
2021,Kyle Pitts,Squaw Valley Skinners,N/A,13
2021,Adam Thielen,Poulsbo Polliwogs,N/A,24
2021,Patrick Mahomes,Squaw Valley Skinners,N/A,16
2021,Justin Herbert,San Diego Shadowcocks,N/A,7
2021,Julio Jones,Fairview Fat Cats,N/A,18
2021,Cooper Kupp,Poulsbo Polliwogs,N/A,12
2021,Dallas Goedert,Poulsbo Polliwogs,N/A,2
2021,George Kittle,Fairview Fat Cats,N/A,41
2021,Myles Gaskin,Tijuana Sanchitos,N/A,8
2021,Kareem Hunt,Pasco Pounders,N/A,21
2021,Wayne Gallman,Squaw Valley Skinners,N/A,1
2021,Raheem Mostert,Westeros  Warlords,N/A,15
2021,Diontae Johnson,Honolulu Horndogs,N/A,8
2021,Robert Woods,Pasco Pounders,N/A,14
2021,Dak Prescott,Honolulu Horndogs,N/A,6
2021,Courtland Sutton,Poulsbo Polliwogs,N/A,3
2021,Tyler Lockett,Poulsbo Polliwogs,N/A,14
2021,Chris Godwin,DC Mighty Cucks,N/A,12
2021,Tee Higgins,Fairview Fat Cats,N/A,6
2021,Tyler Bass,Pasco Pounders,N/A,1
2021,Chase Claypool,Westeros  Warlords,N/A,7
2021,Brandon Aiyuk,Chula Vista Chupacabras,N/A,6
2021,Jason Myers,Squaw Valley Skinners,N/A,1
2021,Javonte Williams,Westeros  Warlords,N/A,7
2021,Greg Zuerlein,DC Mighty Cucks,N/A,1
2021,Marquez Callaway,Fairview Fat Cats,N/A,3
2021,DJ Moore,DC Mighty Cucks,N/A,6
2021,Odell Beckham Jr.,DC Mighty Cucks,N/A,7
2021,Trey Sermon,Chula Vista Chupacabras,N/A,5
2021,DeVonta Smith,DC Mighty Cucks,N/A,3
2021,JuJu Smith-Schuster,San Diego Shadowcocks,N/A,2
2021,T.J. Hockenson,DC Mighty Cucks,N/A,7
2021,Sony Michel,Poulsbo Polliwogs,N/A,3
2021,Ryan Tannehill,Fairview Fat Cats,N/A,3
2021,Ravens D/ST,DC Mighty Cucks,N/A,2
