year,week,home_team_id,home_team_score,away_team_id,away_team_score,winner_team_id
2021,11,10,61.86,4,57.12,
2021,11,6,160.28,8,62.04,
2021,11,14,132.28,1,67.98,
2021,12,7,72.22,11,90.42,
2021,12,4,62.0,13,94.9,
2021,12,8,106.9,1,86.92,
2021,12,2,49.02,9,132.08,
2021,12,3,89.38,14,102.16,
2021,12,10,107.8,6,96.1,
2021,13,4,104.72,7,94.7,
2021,13,11,92.56,8,68.02,
2021,13,13,60.36,1,112.08,
2021,13,3,106.3,2,104.56,
2021,13,9,96.82,10,78.5,
2021,13,14,118.48,6,140.62,
2021,14,7,119.84,8,96.94,
2021,14,1,94.3,4,82.52,
2021,14,13,144.04,11,92.92,
2021,14,2,94.8,10,128.92,
2021,14,6,110.82,3,80.18,
2021,14,14,96.38,9,66.68,
2021,16,14,76.46,11,111.72,
2021,16,7,102.2,10,127.76,
2021,16,6,114.28,13,93.68,
2021,16,4,74.0,1,81.04,
2021,16,9,68.72,2,134.7,
2021,16,8,98.3,3,101.98,
2021,17,11,139.56,10,82.7,
2021,17,14,96.16,7,135.86,
2021,17,6,110.8,13,89.32,
2021,17,1,77.58,2,103.34,
2021,17,4,79.02,3,92.76,
2021,17,9,75.88,8,78.64,
2022,1,11,84.66,7,78.4,
2022,1,13,115.32,4,103.28,
2022,1,1,70.68,8,91.02,
2022,1,9,71.1,2,90.72,
2022,1,14,92.8,3,96.12,
2022,1,6,119.06,10,121.3,
2022,2,7,104.08,4,95.08,
2022,2,8,99.18,11,91.16,
2022,2,1,89.18,13,61.66,
2022,2,2,161.92,3,90.22,
2022,2,10,79.3,9,134.26,
2022,2,6,77.4,14,82.36,
2022,3,8,71.86,7,93.92,
2022,3,4,102.9,1,85.36,
2022,3,11,102.18,13,73.3,
2022,3,10,70.78,2,91.92,
2022,3,3,82.0,6,69.0,
2022,3,9,74.74,14,69.24,
2022,4,7,101.32,1,140.98,
2022,4,13,108.78,8,80.18,
2022,4,11,103.8,4,89.62,
2022,4,2,84.36,6,92.02,
2022,4,14,135.1,10,68.76,
2022,4,9,85.7,3,67.46,
2022,5,13,117.86,7,100.54,
2022,5,1,116.36,11,89.02,
2022,5,8,74.7,4,136.46,
2022,5,14,87.28,2,87.76,
2022,5,6,112.14,9,86.24,
2022,5,10,120.28,3,75.36,
2022,6,7,83.54,2,73.7,
2022,6,11,92.82,9,89.98,
2022,6,4,91.86,3,79.7,
2022,6,8,77.08,10,92.12,
2022,6,1,71.02,6,78.2,
2022,6,13,94.74,14,69.46,
2022,7,2,76.2,11,54.72,
2022,7,9,76.18,4,75.74,
2022,7,3,85.18,8,104.76,
2022,7,10,96.22,1,85.32,
2022,7,6,90.66,13,131.36,
2022,7,14,76.0,7,108.1,
2022,8,4,125.06,2,130.38,
2022,8,8,88.8,9,95.18,
2022,8,1,61.58,3,148.5,
2022,8,13,116.86,10,102.88,
2022,8,7,77.54,6,92.28,
2022,8,11,86.92,14,83.62,
2022,9,2,57.02,8,102.8,
2022,9,9,84.2,1,82.84,
2022,9,3,74.52,13,71.86,
2022,9,10,66.28,7,142.34,
2022,9,6,126.82,11,76.6,
2022,9,14,77.66,4,130.5,
2022,10,1,85.9,2,99.34,
2022,10,13,78.66,9,75.5,
2022,10,7,113.94,3,63.1,
2022,10,11,93.3,10,101.0,
2022,10,4,55.24,6,132.98,
2022,10,8,84.68,14,53.34,
2022,11,2,92.66,13,118.16,
2022,11,9,88.78,7,95.16,
2022,11,3,93.3,11,61.68,
2022,11,10,70.58,4,90.96,
2022,11,6,116.02,8,102.84,
2022,11,14,103.04,1,113.04,
2022,12,1,98.24,7,124.24,
2022,12,8,103.14,13,87.0,
2022,12,4,95.96,11,117.02,
2022,12,6,89.7,2,97.76,
2022,12,10,108.36,14,63.16,
2022,12,3,89.82,9,87.72,
2022,13,7,87.22,13,118.18,
2022,13,11,112.62,1,64.26,
2022,13,4,77.1,8,92.4,
2022,13,2,78.84,14,50.88,
2022,13,9,102.18,6,136.44,
2022,13,3,114.9,10,82.3,
2022,14,7,119.78,11,100.08,
2022,14,4,87.58,13,70.76,
2022,14,8,75.66,1,71.76,
2022,14,2,131.5,9,103.26,
2022,14,3,82.28,14,72.2,
2022,14,10,59.9,6,98.14,
2022,16,2,100.76,8,76.3,
2022,16,7,96.26,3,81.86,
2022,16,6,58.46,13,82.9,
2022,16,11,127.98,9,87.3,
2022,16,4,83.9,1,88.78,
2022,16,10,93.8,14,70.56,
2022,17,2,96.0,7,78.32,
2022,17,8,84.16,3,77.14,
2022,17,6,106.5,13,110.66,
2022,17,11,80.46,1,84.98,
2022,17,9,76.0,10,85.0,
2022,17,4,93.38,14,84.36,
2023,1,11,81.36,7,117.78,
2023,1,13,79.64,4,56.84,
2023,1,1,101.14,8,73.66,
2023,1,9,74.88,2,73.06,
2023,1,14,76.94,3,86.42,
2023,1,6,58.3,10,76.14,
2023,2,7,109.24,4,57.56,
2023,2,8,109.5,11,108.4,
2023,2,1,67.96,13,76.4,
2023,2,2,63.38,3,92.14,
2023,2,10,83.84,9,89.28,
2023,2,6,124.82,14,96.64,
2023,3,8,125.4,7,89.44,
2023,3,4,112.12,1,59.48,
2023,3,11,104.54,13,122.08,
2023,3,10,91.86,2,80.98,
2023,3,3,121.1,6,75.18,
2023,3,9,68.66,14,104.62,
2023,4,7,96.28,1,87.68,
2023,4,13,76.12,8,96.58,
2023,4,11,68.22,4,134.6,
2023,4,2,84.24,6,123.66,
2023,4,14,54.82,10,92.7,
