Player,Team,Position,Bid_Amount
Evan Engram,Pasco Pounders,N/A,4
Geno Smith,Tittsburgh Feelers,N/A,1
Dolphins D/ST,Tijuana Sanchitos,N/A,1
Elijah Mitchell,Honolulu Horndogs,N/A,3
Treylon Burks,Honolulu Horndogs,N/A,2
Cole Kmet,San Diego Shadowcöcks,N/A,2
Tyler Allgeier,Chula Vista Chupacabras,N/A,1
Skyy Moore,Honolulu Horndogs,N/A,3
Brandin Cooks,Pasco Pounders,N/A,1
Ezekiel Elliott,Pasco Pounders,N/A,5
Rashaad Penny,Squaw Valley Skinners,N/A,1
David Njoku,Westeros  Warlords,N/A,1
Michael Gallup,Tijuana Sanchitos,N/A,1
Deon Jackson,San Diego Shadowcöcks,N/A,1
Dak Prescott,Goleta Gringos,N/A,1
Sam LaPorta,Chula Vista Chupacabras,N/A,1
Kirk Cousins,DC Mighty Cucks,N/A,1
Daniel Jones,Poulsbo Polliwogs,N/A,1
Gus Edwards,Westeros  Warlords,N/A,2
Kareem Hunt,Westeros  Warlords,N/A,1
JuJu Smith-Schuster,Tijuana Sanchitos,N/A,1
Kadarius Toney,San Diego Shadowcöcks,N/A,1
Quentin Johnston,DC Mighty Cucks,N/A,3
Jameson Williams,Chula Vista Chupacabras,N/A,1
Nico Collins,DC Mighty Cucks,N/A,1
Devin Singletary,Poulsbo Polliwogs,N/A,1
Jeff Wilson Jr.,Squaw Valley Skinners,N/A,1
Rashod Bateman,Westeros  Warlords,N/A,1
De'Von Achane,Goleta Gringos,N/A,2
Tyjae Spears,San Diego Shadowcöcks,N/A,1
Dalton Kincaid,Goleta Gringos,N/A,1
Roschon Johnson,DC Mighty Cucks,N/A,1
Jakobi Meyers,Poulsbo Polliwogs,N/A,1
DJ Chark Jr.,Squaw Valley Skinners,N/A,1
Damien Harris,Westeros  Warlords,N/A,1
Dalton Schultz,Tijuana Sanchitos,N/A,1
Chuba Hubbard,DC Mighty Cucks,N/A,2
Joshua Kelley,Westeros  Warlords,N/A,2
Chigoziem Okonkwo,DC Mighty Cucks,N/A,1
Darnell Mooney,Poulsbo Polliwogs,N/A,1
Giants D/ST,Squaw Valley Skinners,N/A,1
Aaron Rodgers,Tijuana Sanchitos,N/A,1
Jared Goff,San Diego Shadowcöcks,N/A,1
Bryce Young,Goleta Gringos,N/A,1
Browns D/ST,DC Mighty Cucks,N/A,1
Packers D/ST,Poulsbo Polliwogs,N/A,1
Jalin Hyatt,Squaw Valley Skinners,N/A,1
Evan Hull,Tijuana Sanchitos,N/A,1
Greg Dulcich,San Diego Shadowcöcks,N/A,1
Kyren Williams,Goleta Gringos,N/A,1
Blake Grupe,DC Mighty Cucks,N/A,1
Matt Gay,Poulsbo Polliwogs,N/A,1
Younghoe Koo,Tijuana Sanchitos,N/A,1
D'Onta Foreman,San Diego Shadowcöcks,N/A,1
Greg Zuerlein,Goleta Gringos,N/A,1
Jerome Ford,San Diego Shadowcöcks,N/A,1
Allen Lazard,Goleta Gringos,N/A,1
Rondale Moore,Goleta Gringos,N/A,1
